,t_county,wind_speed,avg_temp_K,air_density,case_id,faa_ors,faa_asn,usgs_pr_id,eia_id,t_state,t_fips,p_name,p_year,p_tnum,p_cap,t_manu_x,t_model,t_cap,t_hh,t_rd,t_rsa,t_ttlh,retrofit,retrofit_year,t_conf_atr,t_conf_loc,t_img_date,t_img_srce,xlong,ylat,t_manu_y,tower_material,corrosion_protection,rotor_material,rotor_max_speed,rotor_tip_speed,rated_wind_speed,power_calc,power_calc_kW,percent_power_cap
61,Cameron County,4.7,297.79,1.200329046,3106388,48-176281,2018-WTW-3067-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/28/20,Digital Globe,-97.763634,26.313391,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
62,Cameron County,4.7,297.79,1.200329046,3102192,48-175238,2018-WTW-3060-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,1/28/21,Digital Globe,-97.783585,26.302574,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
63,Cameron County,4.7,297.79,1.200329046,3113061,48-176279,2018-WTW-3053-OE,,,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152,0,,1,3,3/18/21,Digital Globe,-97.797226,26.288269,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
64,Cameron County,4.7,297.79,1.200329046,3102169,48-175242,2018-WTW-3066-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/28/20,Digital Globe,-97.768829,26.311026,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
65,Cameron County,4.7,297.79,1.200329046,3108106,48-176276,2018-WTW-3063-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/15/20,Digital Globe,-97.801125,26.306559,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
66,Cameron County,4.7,297.79,1.200329046,3103241,48-175240,2018-WTW-3064-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,8/20/21,Digital Globe,-97.795227,26.30884,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
67,Cameron County,4.7,297.79,1.200329046,3103095,48-175235,2018-WTW-3056-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/28/20,Digital Globe,-97.765526,26.291281,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
68,Cameron County,4.7,297.79,1.200329046,3108296,48-176280,2018-WTW-3061-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/28/20,Digital Globe,-97.764847,26.302931,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
69,Cameron County,4.7,297.79,1.200329046,3106675,48-176283,2018-WTW-3074-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/28/20,Digital Globe,-97.77961,26.33275,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
70,Cameron County,4.7,297.79,1.200329046,3103382,48-175266,2018-WTW-3070-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,8/20/21,Digital Globe,-97.771873,26.322805,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
71,Cameron County,4.7,297.79,1.200329046,3107481,48-176282,2018-WTW-3073-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/28/20,Digital Globe,-97.755005,26.326191,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
72,Cameron County,4.7,297.79,1.200329046,3102878,48-175239,2018-WTW-3062-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/28/20,Digital Globe,-97.777092,26.305553,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
73,Cameron County,4.7,297.79,1.200329046,3103237,48-175230,2018-WTW-3049-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,8/20/21,Digital Globe,-97.760185,26.282801,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
74,Cameron County,4.7,297.79,1.200329046,3102300,48-175265,2018-WTW-3069-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/28/20,Digital Globe,-97.776474,26.320255,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
75,Cameron County,4.7,297.79,1.200329046,3102693,48-175231,2018-WTW-3050-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,8/20/21,Digital Globe,-97.767578,26.283823,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
76,Cameron County,4.7,297.79,1.200329046,3102616,48-175243,2018-WTW-3068-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/28/20,Digital Globe,-97.758476,26.315414,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
77,Cameron County,4.7,297.79,1.200329046,3102904,48-175236,2018-WTW-3057-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/15/20,Digital Globe,-97.794914,26.294588,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
78,Cameron County,4.7,297.79,1.200329046,3102748,48-175267,2018-WTW-3071-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,8/20/21,Digital Globe,-97.767426,26.324528,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
79,Cameron County,4.7,297.79,1.200329046,3103034,48-175241,2018-WTW-3065-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/15/20,Digital Globe,-97.789192,26.309937,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
80,Cameron County,4.7,297.79,1.200329046,3102153,48-175237,2018-WTW-3059-OE,,62909,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152.1,0,,3,3,10/15/20,Digital Globe,-97.791138,26.299597,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
81,Cameron County,4.7,297.79,1.200329046,3113059,48-176278,2018-WTW-3051-OE,,,TX,48061,East Raymond,2020,91,200,Vestas,V120-2.2,2200,92,120,11309.73,152,0,,1,3,8/13/21,Digital Globe,-97.792412,26.285429,Vestas,Steel,Painted,,,,18,704719.2435,704.7192435,32.03269288
