t_county,avg_temp_K,air_density
Presidio County,292.04999999999995,1.2239189647499387
Rains County,291.33,1.2269437876470655
Randall County,287.07,1.2451511257018133
Reagan County,291.605,1.2257879647902814
Red River County,291.32,1.226985904349923
Reeves County,291.71,1.2253454926304193
Refugio County,295.42999999999995,1.2099161684839712
Runnels County,291.30999999999995,1.2270339464534559
Rusk County,292.25,1.223081381198356
Sabine County,293.03999999999996,1.2197841033825403
San Augustine County,292.28999999999996,1.2229140020364007
San Patricio County,295.32,1.2103668348070553
San Saba County,292.815,1.2207216119206916
Schleicher County,291.38,1.22673324894031
Scurry County,291.12,1.227828846026448
Shackelford County,291.275,1.2271754830187525
Smith County,292.1066666666666,1.2236895238620336
Starr County,298.29999999999995,1.198275339105664
Stephens County,290.4,1.230873049776927
Sterling County,291.31,1.2270280239443188
Stonewall County,291.0,1.228335167200067
Swisher County,288.015,1.2410656867279322
Tarrant County,292.78,1.2208769473043692
Taylor County,292.26,1.2230395321125695
Terrell County,294.12,1.2153050919870105
Terry County,289.76,1.2335917091911222
Titus County,291.08,1.2279975733654651
Tom Green County,292.53,1.2219130886326164
Travis County,294.32666666666665,1.2144578864749753
Tyler County,293.42,1.218207895084278
Upshur County,291.95,1.2243381868649412
Upton County,293.07499999999993,1.2196384500659752
Val Verde County,296.54999999999995,1.2053465980617757
Van Zandt County,291.65999999999997,1.2255555566591907
Victoria County,295.51,1.2095896446836742
Walker County,293.78499999999997,1.2166969397428096
Ward County,292.71,1.221159282755012
Webb County,297.485,1.2015582729797867
Wharton County,294.78,1.2125840764860976
Wichita County,290.90999999999997,1.228715182204873
Winkler County,292.135,1.223565951641942
Wise County,292.22999999999996,1.2231650879622886
Wood County,291.145,1.2277234761769455
Yoakum County,289.30499999999995,1.235532568946287
